# Wavelength(micron) Intensity(MJy/sr) Error
5.295847 3765.623580 55.789091
5.296634 3777.627117 58.700414
5.297422 3781.854638 60.877772
5.298209 3784.353734 61.165107
5.298996 3773.916045 59.671345
5.299783 3774.025044 59.203023
5.300570 3769.331216 58.010805
5.301358 3766.743441 56.615788
5.302145 3756.650227 54.054615
5.302932 3761.775634 52.041727
5.303719 3762.740799 50.659523
5.304506 3771.959900 49.952643
5.305294 3782.031025 50.371997
5.306081 3790.606861 51.436558
5.306868 3781.901346 53.162503
5.307655 3783.136166 55.335102
5.308442 3781.357840 58.323116
5.309230 3770.933320 60.899085
5.310017 3758.854195 62.517697
5.310804 3761.376800 63.421362
5.311591 3761.321783 61.910734
5.312378 3790.521649 59.612168
5.313166 3787.413344 56.813631
5.313953 3784.432344 54.009086
5.314740 3783.270032 51.795179
5.315527 3785.752755 50.131977
5.316314 3782.580590 49.423493
5.317101 3790.630787 49.431309
5.317889 3786.832998 50.256746
5.318676 3771.701753 51.749316
5.319463 3784.887811 53.853196
5.320250 3782.568247 56.638302
5.321037 3787.248669 59.385756
5.321825 3801.843201 62.028247
5.322612 3795.562703 63.309718
5.323399 3791.939392 62.940860
5.324186 3788.129867 61.182553
5.324973 3800.687954 58.642807
5.325761 3782.364260 55.618218
5.326548 3773.447085 53.580009
5.327335 3780.064321 52.577879
5.328122 3781.937734 52.105509
5.328909 3794.221442 52.578440
5.329697 3815.543969 53.397373
5.330484 3835.119207 54.362145
5.331271 3839.246434 55.142582
5.332058 3820.809502 55.458456
5.332845 3809.283816 55.508177
5.333633 3805.057734 55.730281
5.334420 3806.236368 55.618788
5.335207 3800.188879 55.703558
5.335994 3804.482476 56.199309
5.336781 3846.504553 59.545260
5.337569 3871.867221 61.783597
5.338356 3976.691983 60.986504
5.339143 4222.255165 62.807249
5.339930 4327.099922 62.734586
5.340717 4363.301757 61.857947
5.341504 4315.528602 60.693826
5.342292 4230.016348 59.275975
5.343079 4080.594805 56.934212
5.343866 3956.485191 55.285922
5.344653 3888.627866 54.671292
5.345440 3840.103904 53.772604
5.346228 3838.739890 53.484647
5.347015 3832.108307 53.260816
5.347802 3823.603198 52.621497
5.348589 3843.003168 52.838718
5.349376 3829.103400 53.261576
5.350164 3821.282485 54.408770
5.350951 3802.389476 55.500908
5.351738 3815.155062 58.010601
5.352525 3796.882021 59.562148
5.353312 3805.154576 61.668652
5.354100 3797.068876 62.308245
5.354887 3796.288683 61.926324
5.355674 3811.358105 60.670722
5.356461 3813.462772 59.796627
5.357248 3818.591894 58.265271
5.358036 3825.276630 56.536135
5.358823 3810.314808 54.218804
5.359610 3792.695188 52.417352
5.360397 3801.222098 51.270995
5.361184 3792.967198 50.622771
5.361972 3799.562568 50.645584
5.362759 3810.167644 51.261796
5.363546 3816.740278 52.417595
5.364333 3808.174590 53.460558
5.365120 3830.788944 54.823509
5.365907 3822.600514 55.912017
5.366695 3813.247928 56.334826
5.367482 3810.824466 57.147999
5.368269 3805.095349 57.976867
5.369056 3801.414027 59.438445
5.369843 3779.493343 60.949442
5.370631 3809.644095 62.345505
5.371418 3802.097190 62.126514
5.372205 3800.556768 60.796384
5.372992 3820.696203 59.258087
5.373779 3835.825935 57.710564
5.374567 3832.751487 56.139775
5.375354 3817.471117 54.475244
5.376141 3820.905959 54.049741
5.376928 3801.612802 53.077896
5.377715 3794.476218 52.677639
5.378503 3814.505519 52.509901
5.379290 3819.185921 52.636922
5.380077 3824.948310 52.785862
5.380864 3821.257741 53.023072
5.381651 3821.996000 53.416004
5.382439 3817.572884 53.951348
5.383226 3828.447394 55.328675
5.384013 3839.199251 55.917356
5.384800 3827.437284 56.175447
5.385587 3803.135908 56.065523
5.386375 3809.247075 57.158668
5.387162 3820.368795 58.163352
5.387949 3819.336267 60.027255
5.388736 3825.306711 61.341584
5.389523 3827.513377 62.706396
5.390311 3821.439319 61.874406
5.391098 3817.127977 61.041005
5.391885 3820.761105 59.085214
